1157	[45, 75, 672, 1731, 4849, 10017, 0]
1160	[45, 75, 508, 1109, 4075, 8321, 0]
1164	[45, 75, 485, 1234, 5239, 11021, 0]
1165	[45, 75, 485, 1234, 289, 647, 0]
1166	[45, 75, 485, 127, 1667, 3514, 0]
1168	[45, 75, 485, 1234, 3480, 7164, 0]
1176	[45, 75, 485, 127, 371, 816, 0]
1178	[45, 75, 485, 1234, 3480, 7155, 0]
1179	[45, 75, 485, 1234, 1573, 3362, 0]
1181	[45, 75, 485, 1234, 1573, 3362, 606]
1184	[45, 75, 382, 964, 2741, 5535, 0]
1197	[45, 75, 485, 1597, 3167, 6410, 0]
1202	[45, 75, 382, 964, 2741, 5536, 0]
1208	[45, 75, 508, 1109, 5229, 10999, 0]
1215	[45, 75, 161, 1501, 4223, 8607, 0]
1216	[45, 75, 161, 1501, 4223, 8606, 0]
1223	[45, 75, 586, 1503, 4224, 8608, 0]
1238	[99, 113, 723, 1422, 4060, 8296, 0]
1244	[12, 24, 370, 939, 2763, 5582, 0]
1245	[12, 24, 370, 939, 2763, 5585, 0]
1246	[12, 24, 370, 939, 2763, 5584, 0]
1247	[12, 24, 370, 939, 3545, 7284, 0]
1249	[12, 24, 370, 939, 5439, 11464, 0]
1252	[12, 24, 370, 939, 2763, 5579, 0]
1254	[12, 24, 370, 939, 3847, 7824, 0]
1255	[12, 24, 370, 939, 3847, 7825, 0]
1258	[12, 255, 727, 1360, 3887, 7928, 0]
1260	[12, 255, 727, 1360, 1945, 4141, 0]
1264	[12, 66, 262, 1289, 4541, 9347, 0]
1265	[12, 66, 262, 1289, 4541, 9348, 0]
1270	[3, 4, 433, 1108, 3168, 6411, 0]
1271	[3, 4, 433, 1108, 3168, 6412, 0]
1272	[3, 4, 433, 1108, 2600, 5255, 0]
1275	[3, 4, 433, 1108, 2600, 5253, 0]
1280	[12, 24, 73, 1742, 4873, 10056, 0]
1281	[12, 24, 73, 1742, 4873, 10058, 0]
1282	[12, 24, 73, 1742, 4873, 10060, 0]
1283	[12, 24, 73, 1742, 4873, 10062, 0]
1284	[12, 24, 73, 1742, 4873, 10064, 0]
1285	[12, 24, 73, 1742, 4873, 10065, 0]
1286	[12, 24, 73, 1742, 4873, 10073, 0]
1287	[12, 24, 73, 1742, 4873, 10073, 0]
1288	[12, 24, 73, 1742, 4873, 10079, 0]
1290	[12, 24, 73, 1742, 4873, 10063, 0]
1292	[12, 24, 73, 1742, 4873, 10078, 0]
1293	[12, 24, 73, 1742, 4873, 10061, 0]
1295	[12, 24, 73, 1742, 4873, 10072, 0]
1296	[12, 24, 73, 1742, 2965, 6006, 0]
1299	[47, 80, 215, 567, 1524, 3284, 0]
1302	[12, 24, 370, 1758, 4913, 10145, 0]
1303	[12, 24, 370, 1758, 4913, 10151, 0]
1304	[12, 24, 370, 1758, 4913, 10163, 0]
1305	[12, 24, 370, 1758, 4913, 10164, 0]
1307	[12, 24, 370, 1758, 4913, 10167, 0]
1308	[12, 24, 370, 1758, 4913, 10168, 0]
1309	[12, 24, 370, 1758, 4913, 10150, 0]
1311	[12, 24, 370, 1758, 4913, 10133, 0]
1313	[12, 24, 370, 1758, 4913, 10156, 0]
1314	[12, 24, 370, 1758, 4913, 10159, 0]
1317	[12, 24, 370, 1758, 4913, 10140, 0]
1318	[12, 24, 370, 1758, 4913, 10152, 0]
1320	[12, 24, 370, 1758, 4913, 10165, 0]
1322	[12, 66, 369, 938, 704, 1561, 0]
1326	[12, 24, 370, 1758, 4913, 10132, 0]
1328	[12, 24, 370, 1758, 4913, 10135, 0]
1329	[12, 24, 370, 1758, 4913, 10136, 0]
1333	[12, 24, 370, 1758, 4913, 10138, 0]
1334	[12, 24, 370, 1758, 4913, 10141, 0]
1335	[12, 24, 370, 1758, 4913, 10143, 0]
1338	[12, 24, 370, 1758, 4913, 10147, 0]
1340	[12, 24, 370, 1758, 4913, 10158, 0]
1341	[12, 24, 370, 1758, 4913, 10162, 0]
1343	[12, 24, 370, 1758, 4913, 10170, 0]
1346	[12, 24, 370, 1758, 4913, 10146, 0]
1349	[12, 24, 370, 1758, 4913, 10169, 0]
1351	[12, 24, 370, 661, 1786, 3823, 0]
1352	[12, 24, 370, 661, 1786, 3824, 0]
1353	[12, 24, 370, 661, 1786, 3825, 0]
1354	[12, 24, 370, 661, 1786, 3826, 0]
1359	[12, 24, 370, 1758, 2639, 5325, 0]
1360	[12, 24, 370, 1758, 2639, 5327, 986]
1371	[12, 24, 73, 202, 2994, 6066, 0]
1388	[12, 24, 73, 66, 174, 387, 77]
1390	[12, 24, 73, 202, 574, 1238, 0]
1391	[12, 24, 73, 1303, 315, 696, 0]
1392	[12, 24, 73, 202, 574, 1239, 0]
1393	[12, 24, 73, 1303, 778, 1732, 0]
1394	[12, 24, 73, 121, 2056, 11620, 0]
1395	[12, 24, 73, 121, 2056, 11621, 0]
1396	[12, 24, 73, 202, 574, 1241, 0]
1397	[12, 24, 73, 202, 3445, 7071, 0]
1398	[12, 24, 73, 202, 2336, 4856, 0]
1399	[12, 24, 73, 202, 1477, 3209, 0]
1400	[12, 24, 73, 202, 574, 1243, 0]
1401	[12, 24, 73, 1303, 3708, 7589, 0]
1402	[12, 24, 73, 202, 574, 1245, 0]
1404	[12, 24, 73, 202, 4206, 8584, 0]
1405	[12, 24, 73, 202, 574, 1248, 0]
1406	[12, 24, 73, 1303, 3708, 7593, 0]
1407	[12, 24, 73, 202, 3894, 7937, 0]
1408	[12, 24, 73, 202, 574, 1265, 0]
1409	[12, 24, 73, 202, 574, 1267, 0]
1410	[12, 24, 73, 202, 574, 1269, 0]
1412	[12, 24, 73, 202, 574, 1272, 0]
1415	[12, 24, 73, 202, 574, 1287, 0]
1416	[12, 24, 73, 202, 574, 1274, 0]
1417	[12, 24, 73, 202, 574, 1277, 0]
1419	[12, 24, 73, 202, 574, 1295, 0]
1421	[12, 24, 73, 202, 2897, 5860, 0]
1422	[12, 24, 73, 121, 2056, 4389, 0]
1423	[12, 24, 73, 202, 574, 1310, 0]
1425	[12, 24, 73, 202, 574, 1311, 0]
1426	[12, 24, 73, 121, 3770, 7725, 0]
1427	[12, 24, 73, 202, 574, 1312, 0]
1428	[12, 24, 73, 202, 574, 1314, 0]
1430	[12, 24, 73, 202, 574, 1314, 0]
1433	[12, 24, 73, 202, 574, 1314, 0]
1434	[12, 24, 73, 202, 574, 1314, 0]
1435	[12, 24, 73, 202, 574, 1314, 0]
1436	[12, 24, 73, 202, 574, 1314, 0]
1440	[12, 24, 73, 202, 574, 1314, 0]
1441	[12, 24, 73, 202, 574, 1314, 0]
1442	[12, 24, 73, 202, 574, 1314, 0]
1444	[12, 24, 73, 202, 574, 1314, 0]
1445	[12, 24, 73, 202, 179, 396, 0]
1451	[12, 24, 73, 1303, 3708, 7583, 0]
1452	[12, 24, 73, 202, 574, 1240, 0]
1454	[12, 24, 73, 202, 4647, 9536, 0]
1455	[12, 24, 73, 202, 4274, 8731, 0]
1459	[12, 24, 73, 343, 4860, 10037, 0]
1462	[12, 24, 73, 121, 2056, 4385, 0]
1465	[12, 24, 73, 1303, 778, 1734, 0]
1467	[12, 24, 73, 202, 2693, 5423, 0]
1468	[12, 24, 73, 1303, 3708, 7592, 1307]
1471	[12, 24, 73, 202, 574, 1246, 0]
1473	[12, 24, 73, 202, 5411, 11412, 0]
1474	[12, 24, 73, 343, 4860, 10038, 0]
1476	[12, 24, 73, 343, 4860, 10039, 0]
1481	[12, 24, 73, 202, 574, 1249, 0]
1482	[12, 24, 73, 202, 5411, 11411, 0]
1483	[12, 24, 73, 202, 574, 1310, 204]
1484	[12, 24, 73, 204, 2414, 4960, 0]
1487	[12, 66, 262, 456, 1240, 11623, 0]
1488	[12, 66, 262, 456, 1240, 2594, 0]
1490	[12, 66, 532, 1361, 3762, 7705, 0]
1491	[12, 66, 262, 456, 1240, 2597, 0]
1492	[12, 66, 262, 456, 1240, 2599, 0]
1493	[12, 66, 262, 456, 1240, 2600, 0]
